Country	Region	NumberOfBooks	Gender	meanScore
Netherlands	WESTERN EUROPE	11-25 books	Male	497.083197826087
Netherlands	WESTERN EUROPE	201-500 books	Female	567.5627113138686
Netherlands	WESTERN EUROPE	101-200 books	Male	546.7895636363636
Netherlands	WESTERN EUROPE	11-25 books	Female	485.6721265463918
Netherlands	WESTERN EUROPE	201-500 books	Male	576.9639748175183
Netherlands	WESTERN EUROPE	26-100 books	Male	540.3910700475436
New Zealand	OCEANIA	101-200 books	Male	533.3582428229665
New Zealand	OCEANIA	11-25 books	Female	463.915551056338
New Zealand	OCEANIA	101-200 books	Female	514.13605
New Zealand	OCEANIA	More than 500 books	Female	561.3332947916666
New Zealand	OCEANIA	0-10 books	Female	429.48641163793104
New Zealand	OCEANIA	0-10 books	Male	430.8542551724138
New Zealand	OCEANIA	201-500 books	Female	532.8512293785311
New Zealand	OCEANIA	201-500 books	Male	559.7736031339032
New Zealand	OCEANIA	26-100 books	Female	479.73814546925564
New Zealand	OCEANIA	11-25 books	Male	466.9645425531915
New Zealand	OCEANIA	More than 500 books	Male	562.840231547619
New Zealand	OCEANIA	26-100 books	Male	505.37563067292643
Norway	WESTERN EUROPE	More than 500 books	Male	528.4923433497537
Norway	WESTERN EUROPE	0-10 books	Male	432.828128959276
Norway	WESTERN EUROPE	201-500 books	Female	520.342011627907
Norway	WESTERN EUROPE	0-10 books	Female	432.3390284210526
Norway	WESTERN EUROPE	More than 500 books	Female	536.885591902834
Norway	WESTERN EUROPE	26-100 books	Male	483.94295431606906
Norway	WESTERN EUROPE	11-25 books	Male	454.82615714285714
Norway	WESTERN EUROPE	201-500 books	Male	539.9962029810298
Norway	WESTERN EUROPE	101-200 books	Male	512.7233440528635
Norway	WESTERN EUROPE	11-25 books	Female	437.70957284482756
Norway	WESTERN EUROPE	101-200 books	Female	501.18706405919664
Norway	WESTERN EUROPE	26-100 books	Female	473.63038958677686
Peru	LATIN AMER. & CARIB	11-25 books	Female	352.8419857959962
Peru	LATIN AMER. & CARIB	201-500 books	Female	420.7525408450704
Peru	LATIN AMER. & CARIB	26-100 books	Female	384.92923956834534
Peru	LATIN AMER. & CARIB	0-10 books	Female	330.8338628230616
Peru	LATIN AMER. & CARIB	0-10 books	Male	349.2972851554664
Peru	LATIN AMER. & CARIB	201-500 books	Male	468.5670381818182
Peru	LATIN AMER. & CARIB	101-200 books	Male	433.4856231213873
Peru	LATIN AMER. & CARIB	11-25 books	Male	372.99859806866954
Peru	LATIN AMER. & CARIB	More than 500 books	Female	361.8796131578947
Peru	LATIN AMER. & CARIB	More than 500 books	Male	392.8080076923077
Peru	LATIN AMER. & CARIB	26-100 books	Male	412.08836898638424
Peru	LATIN AMER. & CARIB	101-200 books	Female	416.8813162436548
Poland	EASTERN EUROPE	11-25 books	Female	476.6503179245283
Poland	EASTERN EUROPE	201-500 books	Male	579.0176975
Poland	EASTERN EUROPE	11-25 books	Male	490.5800875273523
Poland	EASTERN EUROPE	0-10 books	Female	451.1742783919598
Poland	EASTERN EUROPE	0-10 books	Male	468.73912777777775
Poland	EASTERN EUROPE	101-200 books	Female	537.3213050772627
Poland	EASTERN EUROPE	201-500 books	Female	574.428056902357
Poland	EASTERN EUROPE	101-200 books	Male	552.1289917888563
Poland	EASTERN EUROPE	More than 500 books	Female	590.0804363157895
Poland	EASTERN EUROPE	More than 500 books	Male	574.8645994117647
Poland	EASTERN EUROPE	26-100 books	Female	511.23002618453864
Poland	EASTERN EUROPE	26-100 books	Male	519.4336402017291
Portugal	WESTERN EUROPE	11-25 books	Male	466.64495407801417
Portugal	WESTERN EUROPE	201-500 books	Female	538.4889676156583
Portugal	WESTERN EUROPE	26-100 books	Female	488.19992674556215
Portugal	WESTERN EUROPE	26-100 books	Male	506.0760613207547
Portugal	WESTERN EUROPE	More than 500 books	Female	551.6039864
Portugal	WESTERN EUROPE	More than 500 books	Male	549.1413119402985
Portugal	WESTERN EUROPE	0-10 books	Female	429.0334226487524
Portugal	WESTERN EUROPE	0-10 books	Male	436.1742914149444
Portugal	WESTERN EUROPE	11-25 books	Female	450.70266886035313
Portugal	WESTERN EUROPE	101-200 books	Male	536.0295128065395
Portugal	WESTERN EUROPE	201-500 books	Male	561.1343654618474
Portugal	WESTERN EUROPE	101-200 books	Female	510.5140400966184
Qatar	NEAR EAST	26-100 books	Female	399.6746353928299
Qatar	NEAR EAST	More than 500 books	Female	377.79116844660194
Qatar	NEAR EAST	101-200 books	Male	394.2127789548023
Qatar	NEAR EAST	0-10 books	Female	354.3570087466186
Qatar	NEAR EAST	0-10 books	Male	338.6765379067722
Qatar	NEAR EAST	More than 500 books	Male	354.80495368171023
Qatar	NEAR EAST	201-500 books	Male	421.1485528205128
Qatar	NEAR EAST	11-25 books	Female	375.4150676068376
Qatar	NEAR EAST	11-25 books	Male	365.92989130434785
Qatar	NEAR EAST	101-200 books	Female	404.93021900510206
Qatar	NEAR EAST	201-500 books	Female	417.3142914893617
Qatar	NEAR EAST	26-100 books	Male	395.53625458333335
Romania	EASTERN EUROPE	26-100 books	Female	455.7022242467719
Romania	EASTERN EUROPE	26-100 books	Male	457.5434025
Romania	EASTERN EUROPE	0-10 books	Female	405.28300846456693
Romania	EASTERN EUROPE	More than 500 books	Male	515.0579123595505
Romania	EASTERN EUROPE	0-10 books	Male	410.53554686971233
Romania	EASTERN EUROPE	101-200 books	Female	482.85334516129035
Romania	EASTERN EUROPE	More than 500 books	Female	479.9901908450704
Romania	EASTERN EUROPE	11-25 books	Female	417.96786995305166
Romania	EASTERN EUROPE	11-25 books	Male	428.98269725609754
Romania	EASTERN EUROPE	201-500 books	Female	501.4888039823009
Romania	EASTERN EUROPE	101-200 books	Male	481.1828703947368
Romania	EASTERN EUROPE	201-500 books	Male	509.8072979591837
Serbia	EASTERN EUROPE	More than 500 books	Male	500.97397403846156
Serbia	EASTERN EUROPE	101-200 books	Male	501.38111037344396
Serbia	EASTERN EUROPE	0-10 books	Female	397.56635227765724
Serbia	EASTERN EUROPE	0-10 books	Male	414.39925122349104
Serbia	EASTERN EUROPE	101-200 books	Female	469.10207822878226
Serbia	EASTERN EUROPE	201-500 books	Male	524.0769583333333
Serbia	EASTERN EUROPE	11-25 books	Female	419.24486387959865
Serbia	EASTERN EUROPE	11-25 books	Male	432.82304953445066
Serbia	EASTERN EUROPE	201-500 books	Female	501.71763067484665
Serbia	EASTERN EUROPE	26-100 books	Female	463.2042759615385
Serbia	EASTERN EUROPE	26-100 books	Male	472.985670096463
Serbia	EASTERN EUROPE	More than 500 books	Female	477.8752725490196
Singapore	ASIA (EX. NEAR EAST)	0-10 books	Female	512.8346126153846
Singapore	ASIA (EX. NEAR EAST)	101-200 books	Male	594.4886036057692
Singapore	ASIA (EX. NEAR EAST)	More than 500 books	Male	612.8961572463768
Singapore	ASIA (EX. NEAR EAST)	0-10 books	Male	513.3583318537859
Singapore	ASIA (EX. NEAR EAST)	101-200 books	Female	597.1243170426065
Singapore	ASIA (EX. NEAR EAST)	201-500 books	Male	626.8208250803858
Singapore	ASIA (EX. NEAR EAST)	11-25 books	Female	531.873710564663
Singapore	ASIA (EX. NEAR EAST)	11-25 books	Male	531.0468113345521
Singapore	ASIA (EX. NEAR EAST)	201-500 books	Female	622.1309228228229
Singapore	ASIA (EX. NEAR EAST)	26-100 books	Female	579.053456
Singapore	ASIA (EX. NEAR EAST)	26-100 books	Male	569.691236196319
Singapore	ASIA (EX. NEAR EAST)	More than 500 books	Female	620.3003045045045
Slovenia	EASTERN EUROPE	0-10 books	Male	436.4232603975535
Slovenia	EASTERN EUROPE	0-10 books	Female	422.95425207756233
Slovenia	EASTERN EUROPE	11-25 books	Male	468.97264549356225
Slovenia	EASTERN EUROPE	101-200 books	Female	507.0970579326923
Slovenia	EASTERN EUROPE	101-200 books	Male	519.7052450121654
Slovenia	EASTERN EUROPE	11-25 books	Female	455.4400824620573
Slovenia	EASTERN EUROPE	26-100 books	Male	500.7196364271457
Slovenia	EASTERN EUROPE	201-500 books	Female	545.36582
Slovenia	EASTERN EUROPE	201-500 books	Male	546.1256214953271
Slovenia	EASTERN EUROPE	26-100 books	Female	493.45892104712044
Slovenia	EASTERN EUROPE	More than 500 books	Female	536.6037571428571
Slovenia	EASTERN EUROPE	More than 500 books	Male	514.9257357615894
Spain	WESTERN EUROPE	101-200 books	Female	505.53986397887326
Spain	WESTERN EUROPE	0-10 books	Female	403.23931200980394
Spain	WESTERN EUROPE	0-10 books	Male	416.49755400540056
Spain	WESTERN EUROPE	201-500 books	Female	527.7426526093088
Spain	WESTERN EUROPE	101-200 books	Male	524.6508897631473
Spain	WESTERN EUROPE	11-25 books	Female	436.34951526717555
Spain	WESTERN EUROPE	11-25 books	Male	457.59633573155986
Spain	WESTERN EUROPE	More than 500 books	Female	533.4985604545454
Spain	WESTERN EUROPE	201-500 books	Male	549.5468964107677
Spain	WESTERN EUROPE	26-100 books	Female	479.51620902527077
Spain	WESTERN EUROPE	26-100 books	Male	497.6877502034174
Spain	WESTERN EUROPE	More than 500 books	Male	542.60613993007
Sweden	WESTERN EUROPE	101-200 books	Male	502.118500678733
Sweden	WESTERN EUROPE	0-10 books	Female	407.6282708994709
Sweden	WESTERN EUROPE	0-10 books	Male	422.3680038194444
Sweden	WESTERN EUROPE	101-200 books	Female	496.5779770212766
Sweden	WESTERN EUROPE	201-500 books	Female	514.4730749419954
Sweden	WESTERN EUROPE	201-500 books	Male	539.0811603988604
Sweden	WESTERN EUROPE	11-25 books	Female	435.63428825622776
Sweden	WESTERN EUROPE	11-25 books	Male	436.3296470967742
Sweden	WESTERN EUROPE	More than 500 books	Female	539.419043678161
Sweden	WESTERN EUROPE	More than 500 books	Male	509.82370782122905
Sweden	WESTERN EUROPE	26-100 books	Female	467.28008618705036
Sweden	WESTERN EUROPE	26-100 books	Male	478.55789336219334
Switzerland	WESTERN EUROPE	11-25 books	Female	480.6340878306878
Switzerland	WESTERN EUROPE	11-25 books	Male	499.5842789417989
Switzerland	WESTERN EUROPE	0-10 books	Female	448.7810932885906
Switzerland	WESTERN EUROPE	0-10 books	Male	470.0938014910537
Switzerland	WESTERN EUROPE	101-200 books	Female	537.9388481915934
Switzerland	WESTERN EUROPE	101-200 books	Male	555.4725330264672
Switzerland	WESTERN EUROPE	26-100 books	Male	536.1230748771499
Switzerland	WESTERN EUROPE	201-500 books	Female	566.7931342969777
Switzerland	WESTERN EUROPE	201-500 books	Male	574.4021682539683
Switzerland	WESTERN EUROPE	26-100 books	Female	518.0135818181818
Switzerland	WESTERN EUROPE	More than 500 books	Female	561.8251125748503
Switzerland	WESTERN EUROPE	More than 500 books	Male	562.3577655612245
Thailand	ASIA (EX. NEAR EAST)	201-500 books	Female	526.2275164444444
Thailand	ASIA (EX. NEAR EAST)	0-10 books	Female	412.75293425655974
Thailand	ASIA (EX. NEAR EAST)	0-10 books	Male	397.74571222910214
Thailand	ASIA (EX. NEAR EAST)	101-200 books	Female	487.34454858611826
Thailand	ASIA (EX. NEAR EAST)	101-200 books	Male	470.44149958847737
Thailand	ASIA (EX. NEAR EAST)	11-25 books	Female	424.8589935483871
Thailand	ASIA (EX. NEAR EAST)	11-25 books	Male	416.4342984143763
Thailand	ASIA (EX. NEAR EAST)	More than 500 books	Female	523.6086554216868
Thailand	ASIA (EX. NEAR EAST)	201-500 books	Male	536.1187128
Thailand	ASIA (EX. NEAR EAST)	26-100 books	Female	456.8988798652064
Thailand	ASIA (EX. NEAR EAST)	26-100 books	Male	447.9934484848485
Thailand	ASIA (EX. NEAR EAST)	More than 500 books	Male	501.7634651685393
Tunisia	NORTHERN AFRICA	201-500 books	Male	425.69950606060604
Tunisia	NORTHERN AFRICA	0-10 books	Female	364.2284652760736
Tunisia	NORTHERN AFRICA	0-10 books	Male	386.4869205955335
Tunisia	NORTHERN AFRICA	101-200 books	Female	425.1743398305085
Tunisia	NORTHERN AFRICA	101-200 books	Male	428.8017726190476
Tunisia	NORTHERN AFRICA	11-25 books	Female	377.5338160434258
Tunisia	NORTHERN AFRICA	11-25 books	Male	397.88712441471574
Tunisia	NORTHERN AFRICA	201-500 books	Female	447.721615
Tunisia	NORTHERN AFRICA	More than 500 books	Female	393.5700103448276
Tunisia	NORTHERN AFRICA	More than 500 books	Male	427.37185999999997
Tunisia	NORTHERN AFRICA	26-100 books	Female	408.8898990950226
Tunisia	NORTHERN AFRICA	26-100 books	Male	415.6848952238806
Turkey	NEAR EAST	26-100 books	Female	462.2205866666667
Turkey	NEAR EAST	26-100 books	Male	486.9558327118644
Turkey	NEAR EAST	0-10 books	Female	398.2779984070796
Turkey	NEAR EAST	0-10 books	Male	412.21845591836734
Turkey	NEAR EAST	101-200 books	Female	478.18012032520323
Turkey	NEAR EAST	101-200 books	Male	508.621775
Turkey	NEAR EAST	11-25 books	Female	423.4504394984326
Turkey	NEAR EAST	11-25 books	Male	442.78951201780416
Turkey	NEAR EAST	201-500 books	Female	504.2939940789474
Turkey	NEAR EAST	201-500 books	Male	536.31946
Turkey	NEAR EAST	More than 500 books	Female	516.9076987012987
Turkey	NEAR EAST	More than 500 books	Male	508.56732394366196
United Arab Emirates	NEAR EAST	More than 500 books	Female	446.8195287769784
United Arab Emirates	NEAR EAST	0-10 books	Female	398.3303042962963
United Arab Emirates	NEAR EAST	0-10 books	Male	389.58478173076924
United Arab Emirates	NEAR EAST	101-200 books	Female	460.3870825974026
United Arab Emirates	NEAR EAST	101-200 books	Male	464.51044312865497
United Arab Emirates	NEAR EAST	11-25 books	Female	421.91101053036124
United Arab Emirates	NEAR EAST	11-25 books	Male	415.8605016819572
United Arab Emirates	NEAR EAST	201-500 books	Female	481.4476228813559
United Arab Emirates	NEAR EAST	201-500 books	Male	483.8664730496454
United Arab Emirates	NEAR EAST	26-100 books	Female	449.42995947503204
United Arab Emirates	NEAR EAST	26-100 books	Male	446.59557576530614
United Arab Emirates	NEAR EAST	More than 500 books	Male	420.6114695266272
United Kingdom	WESTERN EUROPE	More than 500 books	Male	554.2595523227384
United Kingdom	WESTERN EUROPE	0-10 books	Female	416.8803514917127
United Kingdom	WESTERN EUROPE	0-10 books	Male	435.44406923076923
United Kingdom	WESTERN EUROPE	101-200 books	Female	511.0855655963303
United Kingdom	WESTERN EUROPE	101-200 books	Male	526.0182872277228
United Kingdom	WESTERN EUROPE	11-25 books	Female	447.9337422035481
United Kingdom	WESTERN EUROPE	11-25 books	Male	466.1656976190476
United Kingdom	WESTERN EUROPE	201-500 books	Female	543.2163230853391
United Kingdom	WESTERN EUROPE	201-500 books	Male	553.3198302176696
United Kingdom	WESTERN EUROPE	26-100 books	Female	478.1153726357023
United Kingdom	WESTERN EUROPE	26-100 books	Male	500.3324719551282
United Kingdom	WESTERN EUROPE	More than 500 books	Female	550.2273853881278
Uruguay	LATIN AMER. & CARIB	0-10 books	Female	378.36200386847196
Uruguay	LATIN AMER. & CARIB	0-10 books	Male	389.47403325892856
Uruguay	LATIN AMER. & CARIB	101-200 books	Female	450.3469805194805
Uruguay	LATIN AMER. & CARIB	101-200 books	Male	483.77860395480224
Uruguay	LATIN AMER. & CARIB	11-25 books	Female	400.1760244548287
Uruguay	LATIN AMER. & CARIB	11-25 books	Male	414.45324316309717
Uruguay	LATIN AMER. & CARIB	201-500 books	Female	469.10120442477876
Uruguay	LATIN AMER. & CARIB	201-500 books	Male	497.1150589473684
Uruguay	LATIN AMER. & CARIB	26-100 books	Female	427.5991049459042
Uruguay	LATIN AMER. & CARIB	26-100 books	Male	448.4565666666667
Uruguay	LATIN AMER. & CARIB	More than 500 books	Female	496.250346031746
Uruguay	LATIN AMER. & CARIB	More than 500 books	Male	469.52866363636366
Vietnam	ASIA (EX. NEAR EAST)	0-10 books	Female	500.24343262599467
Vietnam	ASIA (EX. NEAR EAST)	0-10 books	Male	512.876466088632
Vietnam	ASIA (EX. NEAR EAST)	101-200 books	Female	524.0435751152073
Vietnam	ASIA (EX. NEAR EAST)	101-200 books	Male	537.7956451807229
Vietnam	ASIA (EX. NEAR EAST)	11-25 books	Female	499.8531125356125
Vietnam	ASIA (EX. NEAR EAST)	11-25 books	Male	500.7620717598909
Vietnam	ASIA (EX. NEAR EAST)	201-500 books	Female	540.9684485294117
Vietnam	ASIA (EX. NEAR EAST)	201-500 books	Male	560.3056103448275
Vietnam	ASIA (EX. NEAR EAST)	26-100 books	Female	512.2776015186915
Vietnam	ASIA (EX. NEAR EAST)	26-100 books	Male	524.1426953807741
Vietnam	ASIA (EX. NEAR EAST)	More than 500 books	Female	512.8639619047619
Vietnam	ASIA (EX. NEAR EAST)	More than 500 books	Male	531.6149409090909
