Country	Region	NumberOfBooks	Gender	meanScore
Bulgaria	EASTERN EUROPE	201-500 books	Male	501.4488240740741
Canada	NORTHERN AMERICA	26-100 books	Female	501.25309314859925
Canada	NORTHERN AMERICA	201-500 books	Male	558.9001121403509
Canada	NORTHERN AMERICA	101-200 books	Male	536.4943922919857
Canada	NORTHERN AMERICA	201-500 books	Female	539.398251647758
Canada	NORTHERN AMERICA	More than 500 books	Female	547.9670582222222
Canada	NORTHERN AMERICA	26-100 books	Male	514.8994545652174
Canada	NORTHERN AMERICA	11-25 books	Male	487.4573779421222
Canada	NORTHERN AMERICA	0-10 books	Female	453.3624284903519
Canada	NORTHERN AMERICA	11-25 books	Female	469.99195730103804
Canada	NORTHERN AMERICA	101-200 books	Female	516.0576624184428
Canada	NORTHERN AMERICA	0-10 books	Male	459.45366926605504
Canada	NORTHERN AMERICA	More than 500 books	Male	552.2887519329897
Chile	LATIN AMER. & CARIB	26-100 books	Male	479.67466805696847
Chile	LATIN AMER. & CARIB	0-10 books	Female	383.2747901197605
Chile	LATIN AMER. & CARIB	101-200 books	Male	499.36269689922483
Chile	LATIN AMER. & CARIB	11-25 books	Male	435.3040748510131
Chile	LATIN AMER. & CARIB	More than 500 books	Male	519.5242719298245
Chile	LATIN AMER. & CARIB	201-500 books	Male	531.7791055299539
Chile	LATIN AMER. & CARIB	26-100 books	Female	444.2245344664778
Chile	LATIN AMER. & CARIB	11-25 books	Female	401.84919891891894
Chile	LATIN AMER. & CARIB	More than 500 books	Female	511.730125862069
Chile	LATIN AMER. & CARIB	0-10 books	Male	407.37040208044385
Chile	LATIN AMER. & CARIB	201-500 books	Female	513.8795260162601
Chile	LATIN AMER. & CARIB	101-200 books	Female	469.97028528037384
Colombia	LATIN AMER. & CARIB	26-100 books	Female	394.509211634103
Colombia	LATIN AMER. & CARIB	0-10 books	Female	351.35569691928526
Colombia	LATIN AMER. & CARIB	11-25 books	Female	372.1722822178478
Colombia	LATIN AMER. & CARIB	0-10 books	Male	377.7499248266297
Colombia	LATIN AMER. & CARIB	201-500 books	Male	471.74156666666664
Colombia	LATIN AMER. & CARIB	101-200 books	Male	438.44919790940764
Colombia	LATIN AMER. & CARIB	101-200 books	Female	411.52844049295777
Colombia	LATIN AMER. & CARIB	More than 500 books	Female	403.5796472222222
Colombia	LATIN AMER. & CARIB	201-500 books	Female	430.2526461538462
Colombia	LATIN AMER. & CARIB	More than 500 books	Male	425.18346756756756
Colombia	LATIN AMER. & CARIB	11-25 books	Male	396.96727424242425
Colombia	LATIN AMER. & CARIB	26-100 books	Male	428.1638357833656
Costa Rica	LATIN AMER. & CARIB	11-25 books	Female	400.33094835526316
Costa Rica	LATIN AMER. & CARIB	26-100 books	Male	439.1357187935035
Costa Rica	LATIN AMER. & CARIB	More than 500 books	Female	451.82661
